elapsed_sec,run_id,leg,temp_c,humidity_pct,status,data_missing
0,1,cold_storage_loading,4.19,44.8,OK,False
1,1,cold_storage_loading,3.91,43.5,OK,False
2,1,cold_storage_loading,4.06,42.0,OK,False
3,1,cold_storage_loading,3.94,47.7,OK,False
4,1,cold_storage_loading,3.95,43.0,OK,False
5,1,cold_storage_loading,3.96,44.7,OK,False
6,1,cold_storage_loading,4.07,43.2,OK,False
7,1,cold_storage_loading,3.82,47.5,OK,False
8,1,cold_storage_loading,3.8,46.3,OK,False
9,1,cold_storage_loading,3.96,44.1,OK,False
10,1,cold_storage_loading,3.85,46.7,OK,False
11,1,cold_storage_loading,4.04,46.8,OK,False
12,1,cold_storage_loading,3.83,43.3,OK,False
13,1,cold_storage_loading,4.09,42.8,OK,False
14,1,cold_storage_loading,4.0,43.6,OK,False
15,1,cold_storage_loading,3.9,44.9,OK,False
16,1,cold_storage_loading,3.94,45.8,OK,False
17,1,cold_storage_loading,3.82,43.5,OK,False
18,1,cold_storage_loading,3.88,47.6,OK,False
19,1,cold_storage_loading,3.88,42.1,OK,False
20,1,cold_storage_loading,3.89,47.3,OK,False
21,1,cold_storage_loading,4.19,46.3,OK,False
22,1,cold_storage_loading,4.08,42.6,OK,False
23,1,cold_storage_loading,3.88,47.3,OK,False
24,1,cold_storage_loading,4.1,44.8,OK,False
25,1,cold_storage_loading,3.89,45.5,OK,False
26,1,cold_storage_loading,3.97,43.9,OK,False
27,1,cold_storage_loading,4.16,43.6,OK,False
28,1,cold_storage_loading,4.18,47.2,OK,False
29,1,cold_storage_loading,4.05,47.1,OK,False
30,1,highway_transit,4.91,49.4,OK,False
31,1,highway_transit,5.03,51.6,OK,False
32,1,highway_transit,5.04,51.1,OK,False
33,1,highway_transit,4.84,49.9,OK,False
34,1,highway_transit,4.87,48.5,OK,False
35,1,highway_transit,5.03,49.6,OK,False
36,1,highway_transit,4.85,48.4,OK,False
37,1,highway_transit,5.09,48.8,OK,False
38,1,highway_transit,5.05,50.0,OK,False
39,1,highway_transit,4.99,48.0,OK,False
40,1,highway_transit,4.93,47.9,OK,False
41,1,highway_transit,5.06,52.7,OK,False
42,1,highway_transit,5.09,51.8,OK,False
43,1,highway_transit,4.97,49.5,OK,False
44,1,highway_transit,5.15,50.0,OK,False
45,1,highway_transit,4.99,51.8,OK,False
46,1,highway_transit,5.02,48.2,OK,False
47,1,highway_transit,4.94,49.5,OK,False
48,1,highway_transit,4.82,52.4,OK,False
49,1,highway_transit,4.86,47.3,OK,False
50,1,highway_transit,4.91,48.4,OK,False
51,1,highway_transit,5.19,50.0,OK,False
52,1,highway_transit,4.94,50.8,OK,False
